2022-04-30/18:44:17		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:44:31		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:44:43		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:44:51		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:44:59		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:45:06		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:45:14		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:45:23		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:45:28		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:45:35		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:45:43		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:45:48		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:45:56		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:46:32		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:46:40		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:46:46		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:46:55		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:47:01		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:47:08		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:47:15		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:47:22		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:47:30		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:47:36		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:47:42		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:47:50		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:47:57		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:48:03		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:48:09		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:48:19		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:48:31		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:48:38		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:48:45		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:48:51		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:48:58		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:49:04		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:49:10		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:49:16		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:49:23		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:49:30		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:49:36		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:49:42		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:49:49		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:49:56		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:50:03		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:50:10		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:50:18		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:50:27		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:50:34		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:50:40		 fraudDetection_021119920_010222.csv: File loaded successfully!!
2022-04-30/18:50:47		 fraudDetection_021119920_010222.csv: File loaded successfully!!
